election,candidat,parti,bloc
2022,Nathalie Arthaud,Lutte ouvrière,gauche_radicale
2022,Philippe Poutou,NPA,gauche_radicale
2022,Jean-Luc Mélenchon,France insoumise,gauche_radicale
2022,Fabien Roussel,Parti communiste,gauche
2022,Anne Hidalgo,Parti socialiste,gauche
2022,Yannick Jadot,EE-LV,ecologistes
2022,Emmanuel Macron,LRM,centre
2022,Valérie Pécresse,Les Républicains,droite
2022,Jean Lassalle,Résistons,divers
2022,Nicolas Dupont-Aignan,Debout la France,droite_radicale
2022,Marine Le Pen,Rassemblement national,droite_radicale
2022,Eric Zemmour,Reconquête,droite_radicale
2017,Nathalie Arthaud,Lutte ouvrière,gauche_radicale
2017,Philippe Poutou,Nouveau parti anticapitaliste,gauche_radicale
2017,Jean-Luc Mélenchon,La France insoumise,gauche_radicale
2017,Benoît Hamon,Parti socialiste,gauche
2017,Emmanuel Macron,En marche,centre
2017,François Fillon,Les républicains,droite
2017,Nicolas Dupont-Aignan,Debout la France,droite_radicale
2017,Marine Le Pen,Front national,droite_radicale
2017,Jean Lassalle,Résistons,divers
2017,François Asselineau,Union populaire républicaine,divers
2017,Jacques Cheminade,Solidarité et progrès,divers
2027,Nathalie Arthaud,Lutte ouvrière,gauche_radicale
2027,Philippe Poutou,Nouveau parti anticapitaliste,gauche_radicale
2027,Jean-Luc Mélenchon,La France insoumise,gauche_radicale
2027,François Ruffin,Debout / divers gauche,gauche_radicale
2027,Fabien Roussel,Parti communiste,gauche
2027,Olivier Faure,Parti socialiste,gauche
2027,François Hollande,Parti socialiste,gauche
2027,Raphaël Glucksmann,Place publique,gauche
2027,Marine Tondelier,Les Écologistes,ecologistes
2027,Gabriel Attal,Renaissance,centre
2027,Édouard Philippe,Horizons,centre
2027,Sébastien Lecornu,Renaissance,centre
2027,Gérald Darmanin,Renaissance,centre
2027,Laurent Wauquiez,Les Républicains,droite
2027,Bruno Retailleau,Les Républicains,droite
2027,Nicolas Dupont-Aignan,Debout la France,droite_radicale
2027,Marine Le Pen,Rassemblement national,droite_radicale
2027,Jordan Bardella,Rassemblement national,droite_radicale
2027,Éric Zemmour,Reconquête,droite_radicale
