election,tour,candidat,parti,resultat
2017,Premier tour,Nicolas Dupont-Aignan,Debout la France,4.7
2017,Premier tour,Marine Le Pen,Front national,21.3
2017,Premier tour,Emmanuel Macron,En marche,24.01
2017,Premier tour,Benoît Hamon,Parti socialiste,6.36
2017,Premier tour,Nathalie Arthaud,Lutte ouvrière,0.64
2017,Premier tour,Philippe Poutou,Nouveau parti anticapitaliste,1.09
2017,Premier tour,Jacques Cheminade,Solidarité et progrès,0.18
2017,Premier tour,Jean Lassalle,Résistons,1.21
2017,Premier tour,Jean-Luc Mélenchon,La France insoumise,19.58
2017,Premier tour,François Asselineau,Union populaire républicaine,0.92
2017,Premier tour,François Fillon,Les républicains,20.01
2017,Deuxième tour,Emmanuel Macron,En marche,66.1
2017,Deuxième tour,Marine Le Pen,Front national,33.9
